ID	Gene Name	Species	OFFICIAL_GENE_SYMBOL
ENSMUSG00000029253	centromere protein C1	Mus musculus	CENPC1,
ENSMUSG00000045328	centromere protein E	Mus musculus	CENPE,
ENSMUSG00000026708	centromere protein L	Mus musculus	CENPL,
ENSMUSG00000031756	centromere protein N	Mus musculus	CENPN,
ENSMUSG00000023919	centromere protein Q	Mus musculus	Cenpq,
ENSMUSG00000036672	centromere protein T	Mus musculus	CENPT,
ENSMUSG00000018509	centromere protein V	Mus musculus	CENPV,
ENSMUSG00000057110	centrosomal protein 110	Mus musculus	Cep110,
ENSMUSG00000043987	centrosomal protein 164	Mus musculus	CEP164,
ENSMUSG00000038241	centrosomal protein 250	Mus musculus	CEP250,
ENSMUSG00000024989	centrosomal protein 55	Mus musculus	CEP55,
ENSMUSG00000032534	centrosomal protein 63	Mus musculus	CEP63,
ENSMUSG00000056267	centrosomal protein 70	Mus musculus	Cep70,
ENSMUSG00000073542	centrosomal protein 76	Mus musculus	CEP76,
ENSMUSG00000030878	cerebellar degeneration-related 2	Mus musculus	CDR2,
ENSMUSG00000032113	checkpoint kinase 1 homolog (S. pombe)	Mus musculus	CHEK1,
ENSMUSG00000014668	checkpoint with forkhead and ring finger domains	Mus musculus	CHFR,
ENSMUSG00000002835	chromatin assembly factor 1, subunit A (p150)	Mus musculus	CHAF1A,
ENSMUSG00000022945	chromatin assembly factor 1, subunit B (p60)	Mus musculus	chaf1b,
ENSMUSG00000006585	chromatin licensing and DNA replication factor 1	Mus musculus	Cdt1,
ENSMUSG00000000743	chromatin modifying protein 1A; predicted gene 8515	Mus musculus	Chmp1a,Gm8515,
ENSMUSG00000031242	chromatin modifying protein 1B; RIKEN cDNA 2610002M06 gene	Mus musculus	2610002M06Rik,CHMP1B,
ENSMUSG00000063870	chromodomain helicase DNA binding protein 4	Mus musculus	CHD4,
ENSMUSG00000040860	ciliary rootlet coiled-coil, rootletin	Mus musculus	Crocc,
ENSMUSG00000029516	citron	Mus musculus	CIT,
ENSMUSG00000042489	claspin homolog (Xenopus laevis)	Mus musculus	clspn,
ENSMUSG00000021235	coenzyme Q6 homolog (yeast)	Mus musculus	COQ6,
ENSMUSG00000022833	coiled-coil domain containing 14	Mus musculus	CCDC14,
ENSMUSG00000043065	coiled-coil domain containing 52	Mus musculus	CCDC52,
ENSMUSG00000043923	coiled-coil domain containing 84	Mus musculus	CCDC84,
ENSMUSG00000069910	coiled-coil domain containing 99	Mus musculus	ccdc99,
ENSMUSG00000019997	connective tissue growth factor	Mus musculus	CTGF,
ENSMUSG00000031095	cullin 4B	Mus musculus	CUL4B,
ENSMUSG00000038545	cullin 7	Mus musculus	CUL7,
ENSMUSG00000027715	cyclin A2	Mus musculus	CCNA2,
ENSMUSG00000032218	cyclin B2	Mus musculus	CCNB2,
ENSMUSG00000042508	cyclin D binding myb-like transcription factor 1	Mus musculus	Dmtf1,
ENSMUSG00000023572	cyclin D-type binding-protein 1	Mus musculus	Ccndbp1,
ENSMUSG00000070348	cyclin D1	Mus musculus	CCND1,
ENSMUSG00000000184	cyclin D2	Mus musculus	CCND2,
ENSMUSG00000002068	cyclin E1	Mus musculus	CCNE1,
ENSMUSG00000028212	cyclin E2	Mus musculus	Ccne2,
ENSMUSG00000072082	cyclin F	Mus musculus	CCNF,
ENSMUSG00000062234	cyclin G associated kinase	Mus musculus	GAK,
ENSMUSG00000020326	cyclin G1	Mus musculus	ccng1,
ENSMUSG00000029385	cyclin G2	Mus musculus	CCNG2,
ENSMUSG00000021548	cyclin H	Mus musculus	CCNH,
ENSMUSG00000021258	cyclin K; similar to cyclin K	Mus musculus	CCNK,LOC100046615,
ENSMUSG00000042417	cyclin O	Mus musculus	ccno,
ENSMUSG00000011960	cyclin T1	Mus musculus	CCNT1,
ENSMUSG00000024286	cyclin Y; similar to cyclin fold protein 1	Mus musculus	CCNY,LOC100044842,
ENSMUSG00000025358	cyclin-dependent kinase 2	Mus musculus	Cdk2,
ENSMUSG00000028969	cyclin-dependent kinase 5	Mus musculus	cdk5,
ENSMUSG00000040274	cyclin-dependent kinase 6	Mus musculus	Cdk6,
ENSMUSG00000069089	cyclin-dependent kinase 7 (homolog of Xenopus MO15 cdk-activating kinase)	Mus musculus	CDK7,
ENSMUSG00000023067	cyclin-dependent kinase inhibitor 1A (P21)	Mus musculus	CDKN1A,
ENSMUSG00000003031	cyclin-dependent kinase inhibitor 1B	Mus musculus	CDKN1B,
ENSMUSG00000037664	cyclin-dependent kinase inhibitor 1C (P57)	Mus musculus	CDKN1C,
ENSMUSG00000044303	cyclin-dependent kinase inhibitor 2A	Mus musculus	CDKN2A,
ENSMUSG00000037628	cyclin-dependent kinase inhibitor 3	Mus musculus	CDKN3,
ENSMUSG00000031292	cyclin-dependent kinase-like 5	Mus musculus	CDKL5,
ENSMUSG00000028179	cystathionase (cystathionine gamma-lyase)	Mus musculus	CTH,
ENSMUSG00000037725	cytoskeleton associated protein 2	Mus musculus	Ckap2,
ENSMUSG00000048327	cytoskeleton associated protein 2-like	Mus musculus	CKAP2L,
ENSMUSG00000040549	cytoskeleton associated protein 5	Mus musculus	ckap5,
ENSMUSG00000033444	cytospin A	Mus musculus	CYTSA,
ENSMUSG00000042462	dCTP pyrophosphatase 1	Mus musculus	DCTPP1,
ENSMUSG00000022422	defective in sister chromatid cohesion 1 homolog (S. cerevisiae)	Mus musculus	DSCC1,
ENSMUSG00000037544	discs, large (Drosophila) homolog-associated protein 5	Mus musculus	DLGAP5,
ENSMUSG00000022960	downstream neighbor of SON	Mus musculus	DONSON,
ENSMUSG00000024190	dual specificity phosphatase 1	Mus musculus	DUSP1,
ENSMUSG00000028447	dynactin 3	Mus musculus	DCTN3,
ENSMUSG00000032435	dynein cytoplasmic 1 light intermediate chain 1	Mus musculus	dync1li1,
ENSMUSG00000031176	dynein light chain Tctex-type 3	Mus musculus	DYNLT3,
ENSMUSG00000011831	ecotropic viral integration site 5	Mus musculus	EVI5,
ENSMUSG00000027699	ect2 oncogene	Mus musculus	ECT2,
ENSMUSG00000026814	endoglin	Mus musculus	ENG,
ENSMUSG00000029687	enhancer of zeste homolog 2 (Drosophila)	Mus musculus	Ezh2,
ENSMUSG00000027954	ephrin A1	Mus musculus	EFNA1,
ENSMUSG00000022034	establishment of cohesion 1 homolog 2 (S. cerevisiae)	Mus musculus	ESCO2,
ENSMUSG00000017724	ets variant gene 4 (E1A enhancer binding protein, E1AF)	Mus musculus	Etv4,
ENSMUSG00000050192	eukaryotic translation initiation factor 5A2	Mus musculus	Eif5a2,
ENSMUSG00000051220	excision repair cross-complementing rodent repair deficiency complementation group 6 - like	Mus musculus	ERCC6L,
ENSMUSG00000039748	exonuclease 1	Mus musculus	Exo1,
ENSMUSG00000021952	exportin 4	Mus musculus	XPO4,
ENSMUSG00000031792	expressed sequence AA960436	Mus musculus	AA960436,
ENSMUSG00000047534	expressed sequence C79407	Mus musculus	C79407,
ENSMUSG00000058290	extra spindle poles-like 1 (S. cerevisiae)	Mus musculus	ESPL1,
ENSMUSG00000027459	family with sequence similarity 110, member A	Mus musculus	fam110a,
ENSMUSG00000037773	family with sequence similarity 113, member A	Mus musculus	Fam113a,
ENSMUSG00000049872	family with sequence similarity 26, member E	Mus musculus	Fam26e,
ENSMUSG00000027654	family with sequence similarity 83, member D	Mus musculus	FAM83D,
ENSMUSG00000011589	fibronectin type 3 and SPRY domain-containing protein	Mus musculus	FSD1,
ENSMUSG00000020235	fizzy/cell division cycle 20 related 1 (Drosophila)	Mus musculus	FZR1,
ENSMUSG00000024742	flap structure specific endonuclease 1	Mus musculus	FEN1,
ENSMUSG00000001517	forkhead box M1; RIKEN cDNA 4933413G19 gene	Mus musculus	4933413G19Rik,FOXM1,
ENSMUSG00000033713	forkhead box N3	Mus musculus	foxn3,
ENSMUSG00000030161	gamma-aminobutyric acid (GABA) A receptor-associated protein-like 1	Mus musculus	GABARAPL1,
ENSMUSG00000006715	geminin	Mus musculus	gmnn,
ENSMUSG00000031822	genetic suppressor element 1	Mus musculus	Gse1,
ENSMUSG00000050107	germ cell-specific gene 2	Mus musculus	GSG2,
ENSMUSG00000028124	glutamate-cysteine ligase, modifier subunit	Mus musculus	GCLM,
ENSMUSG00000036390	growth arrest and DNA-damage-inducible 45 alpha	Mus musculus	GADD45A,
ENSMUSG00000033751	growth arrest and DNA-damage-inducible, gamma interacting protein 1	Mus musculus	gadd45gip1,
ENSMUSG00000052957	growth arrest specific 1	Mus musculus	GAS1,
ENSMUSG00000030498	growth arrest specific 2	Mus musculus	Gas2,
ENSMUSG00000031451	growth arrest specific 6	Mus musculus	gas6,
ENSMUSG00000057614	guanine nucleotide binding protein (G protein), alpha inhibiting 1	Mus musculus	Gnai1,
ENSMUSG00000032562	guanine nucleotide binding protein (G protein), alpha inhibiting 2; similar to Guanine nucleotide-binding protein G(i), alpha-2 subunit (Adenylate cyclase-inhibiting G alpha protein)	Mus musculus	gnai2,LOC100045883,
ENSMUSG00000000001	guanine nucleotide binding protein (G protein), alpha inhibiting 3	Mus musculus	GNAI3,
ENSMUSG00000020372	guanine nucleotide binding protein (G protein), beta polypeptide 2 like 1	Mus musculus	GNB2L1,
ENSMUSG00000059970	heat shock protein 2	Mus musculus	Hspa2,
ENSMUSG00000020361	heat shock protein 4	Mus musculus	HSPA4,
ENSMUSG00000041548	heat shock protein 8	Mus musculus	HSPB8,
ENSMUSG00000022323	heat-responsive protein 12	Mus musculus	Hrsp12,
ENSMUSG00000025001	helicase, lymphoid specific	Mus musculus	Hells,
ENSMUSG00000020737	hematological and neurological expressed sequence 1; predicted gene 3687	Mus musculus	Gm3687,HN1,
ENSMUSG00000024986	hematopoietically expressed homeobox	Mus musculus	hhex,
ENSMUSG00000028759	heterochromatin protein 1, binding protein 3	Mus musculus	HP1BP3,
ENSMUSG00000020232	high mobility group 20 B	Mus musculus	Hmg20b,
ENSMUSG00000019791	histidine triad nucleotide binding protein 3	Mus musculus	HINT3,
ENSMUSG00000036181	histone cluster 1, H1c	Mus musculus	Hist1h1c,
ENSMUSG00000031770	homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1	Mus musculus	HERPUD1,
ENSMUSG00000029311	hydroxysteroid (17-beta) dehydrogenase 11	Mus musculus	HSD17B11,
ENSMUSG00000028291	hypothetical protein LOC100046298; akirin 2	Mus musculus	akirin2,LOC100046298,
ENSMUSG00000028461	hypothetical protein LOC622404	Mus musculus	CCDC107,
ENSMUSG00000021109	hypoxia inducible factor 1, alpha subunit	Mus musculus	HIF1A,
ENSMUSG00000003541	immediate early response 3	Mus musculus	Ier3,
ENSMUSG00000023150	influenza virus NS1A binding protein	Mus musculus	IVNS1ABP,
ENSMUSG00000030330	inhibitor of growth family, member 4	Mus musculus	Ing4,
ENSMUSG00000024660	inner centromere protein	Mus musculus	INCENP,
ENSMUSG00000006127	inositol polyphosphate 5-phosphatase K	Mus musculus	inpp5k,
ENSMUSG00000040738	integrator complex subunit 8	Mus musculus	INTS8,
ENSMUSG00000001507	integrin alpha 3	Mus musculus	ITGA3,
ENSMUSG00000031392	interleukin-1 receptor-associated kinase 1	Mus musculus	Irak1,
ENSMUSG00000030752	jumonji domain containing 5	Mus musculus	JMJD5,
ENSMUSG00000027937	jumping translocation breakpoint	Mus musculus	Jtb,
ENSMUSG00000031787	katanin p80 (WD40-containing) subunit B 1	Mus musculus	katnb1,
ENSMUSG00000059486	kelch repeat and BTB (POZ) domain containing 2	Mus musculus	KBTBD2,
ENSMUSG00000036782	kelch-like 13 (Drosophila)	Mus musculus	Klhl13,
ENSMUSG00000073700	kelch-like 21 (Drosophila)	Mus musculus	klhl21,
ENSMUSG00000070923	kelch-like 9 (Drosophila)	Mus musculus	KLHL9,
ENSMUSG00000012443	kinesin family member 11	Mus musculus	KIF11,
ENSMUSG00000021375	kinesin family member 13A	Mus musculus	Kif13a,
ENSMUSG00000041498	kinesin family member 14	Mus musculus	KIF14,
ENSMUSG00000051378	kinesin family member 18B; RIKEN cDNA 3000004C01 gene	Mus musculus	Kif18b,
ENSMUSG00000024795	kinesin family member 20B	Mus musculus	Kif20b,
ENSMUSG00000032254	kinesin family member 23	Mus musculus	KIF23,
ENSMUSG00000021693	kinesin family member 2A	Mus musculus	KIF2A,
ENSMUSG00000006740	kinesin family member 5B	Mus musculus	Kif5b,
ENSMUSG00000004187	kinesin family member C2	Mus musculus	KIFC2,
ENSMUSG00000029414	kinetochore associated 1	Mus musculus	KNTC1,
ENSMUSG00000028063	lamin A	Mus musculus	lmna,
ENSMUSG00000004880	lamin B receptor	Mus musculus	LBR,
ENSMUSG00000040021	large tumor suppressor	Mus musculus	lats1,
ENSMUSG00000021959	large tumor suppressor 2	Mus musculus	Lats2,
ENSMUSG00000022802	leishmanolysin-like (metallopeptidase M8 family)	Mus musculus	LMLN,
ENSMUSG00000020782	lethal giant larvae homolog 2 (Drosophila)	Mus musculus	llgl2,
ENSMUSG00000027550	leucine rich repeat and coiled-coil domain containing 1	Mus musculus	LRRCC1,
ENSMUSG00000035342	leucine zipper, putative tumor suppressor 2	Mus musculus	lzts2,
ENSMUSG00000056394	ligase I, DNA, ATP-dependent	Mus musculus	lig1,
ENSMUSG00000020697	ligase III, DNA, ATP-dependent	Mus musculus	lig3,
ENSMUSG00000049717	ligase IV, DNA, ATP-dependent	Mus musculus	LIG4,
ENSMUSG00000035310	lin-54 homolog (C. elegans)	Mus musculus	LIN54,
ENSMUSG00000058729	lin-9 homolog (C. elegans)	Mus musculus	LIN9,
ENSMUSG00000044626	lipase, member H	Mus musculus	lipH,
ENSMUSG00000042207	lysine (K)-specific demethylase 5B	Mus musculus	KDM5B,
ENSMUSG00000079562	macrophage erythroblast attacher	Mus musculus	maeA,
ENSMUSG00000000355	malignant T cell amplified sequence 1	Mus musculus	MCTS1,
ENSMUSG00000024197	mannose-6-phosphate receptor binding protein 1	Mus musculus	PLIN3,
ENSMUSG00000043998	mannoside acetylglucosaminyltransferase 2	Mus musculus	mgat2,
ENSMUSG00000035683	maternal embryonic leucine zipper kinase	Mus musculus	Melk,
ENSMUSG00000061607	mediator of DNA damage checkpoint 1	Mus musculus	MDC1,
ENSMUSG00000020801	mediator of RNA polymerase II transcription, subunit 31 homolog (yeast)	Mus musculus	med31,
ENSMUSG00000033752	meiotic nuclear divisions 1 homolog (S. cerevisiae); predicted gene 3833; similar to Meiotic nuclear divisions 1 homolog (S. cerevisiae)	Mus musculus	Gm3833,LOC100044491,MND1,
ENSMUSG00000038732	membrane bound O-acyltransferase domain containing 1	Mus musculus	MBOAT1,
ENSMUSG00000021103	menage a trois 1	Mus musculus	Mnat1,
ENSMUSG00000029726	methylphosphate capping enzyme	Mus musculus	Mepce,
ENSMUSG00000026779	microtubule associated serine/threonine kinase-like	Mus musculus	MASTL,
ENSMUSG00000033900	microtubule-associated protein 9	Mus musculus	Mtap9,
ENSMUSG00000024277	microtubule-associated protein, RP/EB family, member 2	Mus musculus	MAPRE2,
ENSMUSG00000002870	minichromosome maintenance deficient 2 mitotin (S. cerevisiae)	Mus musculus	mcm2,
ENSMUSG00000041859	minichromosome maintenance deficient 3 (S. cerevisiae)	Mus musculus	MCM3,
ENSMUSG00000022673	minichromosome maintenance deficient 4 homolog (S. cerevisiae)	Mus musculus	MCM4,
ENSMUSG00000005410	minichromosome maintenance deficient 5, cell division cycle 46 (S. cerevisiae)	Mus musculus	Mcm5,
ENSMUSG00000026355	minichromosome maintenance deficient 6 (MIS5 homolog, S. pombe) (S. cerevisiae)	Mus musculus	MCM6,
ENSMUSG00000029730	minichromosome maintenance deficient 7 (S. cerevisiae)	Mus musculus	MCM7,
ENSMUSG00000027353	minichromosome maintenance deficient 8 (S. cerevisiae)	Mus musculus	MCM8,
ENSMUSG00000045636	mitochondrial tumor suppressor 1	Mus musculus	MTUS1,
ENSMUSG00000063358	mitogen-activated protein kinase 1	Mus musculus	MAPK1,
ENSMUSG00000004864	mitogen-activated protein kinase 13	Mus musculus	MAPK13,
ENSMUSG00000063065	mitogen-activated protein kinase 3	Mus musculus	MAPK3,
ENSMUSG00000024558	mitogen-activated protein kinase 4	Mus musculus	MAPK4,
ENSMUSG00000001034	mitogen-activated protein kinase 7	Mus musculus	Mapk7,
ENSMUSG00000020623	mitogen-activated protein kinase kinase 6	Mus musculus	map2k6,
ENSMUSG00000024235	mitogen-activated protein kinase kinase kinase 8	Mus musculus	MAP3K8,
ENSMUSG00000029554	mitotic arrest deficient 1-like 1	Mus musculus	MAD1L1,
ENSMUSG00000042784	mucin 1, transmembrane	Mus musculus	MUC1,
ENSMUSG00000032498	mutL homolog 1 (E. coli)	Mus musculus	MLH1,
ENSMUSG00000024151	mutS homolog 2 (E. coli)	Mus musculus	Msh2,
ENSMUSG00000031629	myeloid leukemia factor 1 interacting protein	Mus musculus	MLF1IP,
ENSMUSG00000029004	myeloid/lymphoid or mixed-lineage leukemia 5	Mus musculus	MLL5,
ENSMUSG00000039396	nei like 3 (E. coli)	Mus musculus	Neil3,
ENSMUSG00000019988	neural precursor cell expressed, developmentally down-regulated gene 1	Mus musculus	NEDD1,
ENSMUSG00000025723	neuromedin B	Mus musculus	NMB,
ENSMUSG00000028224	nibrin	Mus musculus	NBN,
ENSMUSG00000038252	non-SMC condensin I complex, subunit D2	Mus musculus	NCAPD2,
ENSMUSG00000034906	non-SMC condensin I complex, subunit H	Mus musculus	NCAPH,
ENSMUSG00000035024	non-SMC condensin II complex, subunit D3	Mus musculus	ncapd3,
ENSMUSG00000042029	non-SMC condensin II complex, subunit G2	Mus musculus	NCAPG2,
ENSMUSG00000010097	nuclear RNA export factor 1 homolog (S. cerevisiae)	Mus musculus	NXF1,
ENSMUSG00000028693	nuclear autoantigenic sperm protein (histone-binding); similar to nuclear autoantigenic sperm protein; NASP	Mus musculus	LOC100043974,NASP,
ENSMUSG00000026434	nuclear casein kinase and cyclin-dependent kinase substrate 1	Mus musculus	Nucks1,
ENSMUSG00000028851	nuclear distribution gene C homolog (Aspergillus), pseudogene 1; nuclear distribution gene C homolog (Aspergillus)	Mus musculus	nudC,Nudc-ps1,
ENSMUSG00000022678	nuclear distribution gene E homolog 1 (A nidulans)	Mus musculus	NDE1,
ENSMUSG00000028163	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1, p105	Mus musculus	NFKB1,
ENSMUSG00000015839	nuclear factor, erythroid derived 2, like 2	Mus musculus	nfe2l2,
ENSMUSG00000033054	nuclear protein in the AT region	Mus musculus	NPAT,
ENSMUSG00000027678	nuclear receptor coactivator 3	Mus musculus	NCOA3,
ENSMUSG00000002393	nuclear receptor subfamily 2, group F, member 6	Mus musculus	NR2F6,
ENSMUSG00000023034	nuclear receptor subfamily 4, group A, member 1	Mus musculus	NR4A1,
ENSMUSG00000023068	nuclear undecaprenyl pyrophosphate synthase 1 homolog (S. cerevisiae)	Mus musculus	NUS1,
ENSMUSG00000027306	nucleolar and spindle associated protein 1	Mus musculus	NUSAP1,
ENSMUSG00000040034	nucleoporin 43	Mus musculus	nup43,
ENSMUSG00000028587	origin recognition complex, subunit 1-like (S.cereviaiae)	Mus musculus	Orc1l,
ENSMUSG00000040044	origin recognition complex, subunit 3-like (S. cerevisiae)	Mus musculus	orc3l,
ENSMUSG00000030602	p21 protein (Cdc42/Rac)-activated kinase 4	Mus musculus	PAK4,
ENSMUSG00000025812	par-3 (partitioning defective 3) homolog (C. elegans)	Mus musculus	Pard3,
ENSMUSG00000044641	par-6 (partitioning defective 6) homolog beta (C. elegans)	Mus musculus	Pard6b,
ENSMUSG00000005699	par-6 (partitioning defective 6,) homolog alpha (C. elegans)	Mus musculus	PARD6A,
ENSMUSG00000056214	par-6 partitioning defective 6 homolog gamma (C. elegans)	Mus musculus	PARD6G,
ENSMUSG00000042275	pelota homolog (Drosophila)	Mus musculus	PELO,
ENSMUSG00000032171	peptidylprolyl cis/trans isomerase, NIMA-interacting 1-like; protein (peptidyl-prolyl cis/trans isomerase) NIMA-interacting 1	Mus musculus	PIN1,Pin1l,
ENSMUSG00000018217	peripheral myelin protein 22	Mus musculus	pmp22,
ENSMUSG00000033628	phosphoinositide-3-kinase, class 3	Mus musculus	PIK3C3,
ENSMUSG00000016933	phospholipase C, gamma 1	Mus musculus	PLCG1,
ENSMUSG00000020994	pinin	Mus musculus	PNN,
ENSMUSG00000020415	pituitary tumor-transforming gene 1	Mus musculus	PTTG1,
ENSMUSG00000020745	platelet-activating factor acetylhydrolase, isoform 1b, subunit 1	Mus musculus	Pafah1b1,
ENSMUSG00000033149	pleckstrin homology-like domain, family B, member 2	Mus musculus	PHLDB2,
ENSMUSG00000003282	pleiomorphic adenoma gene 1	Mus musculus	PLAG1,
ENSMUSG00000028583	podoplanin	Mus musculus	PDPN,
ENSMUSG00000038902	pogo transposable element with ZNF domain	Mus musculus	POGZ,
ENSMUSG00000030867	polo-like kinase 1 (Drosophila)	Mus musculus	PLK1,
ENSMUSG00000021701	polo-like kinase 2 (Drosophila)	Mus musculus	plk2,
ENSMUSG00000028680	polo-like kinase 3 (Drosophila)	Mus musculus	plk3,
ENSMUSG00000035486	polo-like kinase 5 (Drosophila)	Mus musculus	Plk5,
ENSMUSG00000051695	poly(rC) binding protein 1	Mus musculus	Pcbp1,
ENSMUSG00000028066	polyamine-modulated factor 1	Mus musculus	pmf1,
ENSMUSG00000034575	polymerase (DNA directed) sigma	Mus musculus	papd7,
ENSMUSG00000034327	potassium channel tetramerisation domain containing 9	Mus musculus	KCTD9,
ENSMUSG00000020850	pre-mRNA processing factor 8	Mus musculus	Prpf8,
ENSMUSG00000028044	predicted gene 10124; predicted gene 6340; CDC28 protein kinase 1b	Mus musculus	cks1b,Gm10124,Gm6340,
ENSMUSG00000070837	predicted gene 12463; predicted gene 7210; aurora kinase C	Mus musculus	AURKC,Gm12463,Gm7210,
ENSMUSG00000021134	predicted gene 12966; splicing factor, arginine/serine-rich 5 (SRp40, HRS)	Mus musculus	Gm12966,Sfrs5,
ENSMUSG00000054717	predicted gene 13160; predicted gene 8681; predicted gene 13237; predicted gene 4169; predicted gene 8284; similar to High mobility group box 2; predicted gene 13167; high mobility group box 2; predicted gene 13232	Mus musculus	Gm13160,Gm13167,Gm13232,Gm13237,Gm4169,Gm8284,Gm8681,HMGB2,LOC100041490,
ENSMUSG00000020694	predicted gene 13161; tousled-like kinase 2 (Arabidopsis)	Mus musculus	Gm13161,TLK2,
ENSMUSG00000015120	predicted gene 14176; similar to Chain A, Crystal Structure Of Human Rangap1-Ubc9; ubiquitin-conjugating enzyme E2I; predicted gene 5931	Mus musculus	Gm14176,Gm5931,LOC100044900,LOC100045388,UBE2I,
ENSMUSG00000060475	predicted gene 14292; Wilms' tumour 1-associating protein	Mus musculus	Gm14292,WTAP,
ENSMUSG00000046691	predicted gene 2180; CTF8, chromosome transmission fidelity factor 8 homolog (S. cerevisiae)	Mus musculus	chtf8,Gm2180,
ENSMUSG00000060860	predicted gene 2296; ubiquitin-conjugating enzyme E2S	Mus musculus	Gm2296,Ube2s,
ENSMUSG00000028549	predicted gene 3507; integrin beta 3 binding protein (beta3-endonexin); similar to integrin beta 3 binding protein	Mus musculus	Gm3507,ITGB3BP,LOC100045517,
ENSMUSG00000067787	predicted gene 3852; bladder cancer associated protein homolog (human)	Mus musculus	BLCAP,Gm3852,
ENSMUSG00000026999	predicted gene 4353; nucleoporin 35	Mus musculus	Gm4353,NUP35,
ENSMUSG00000059586	predicted gene 5203; non-SMC element 2 homolog (MMS21, S. cerevisiae)	Mus musculus	Gm5203,NSMCE2,
ENSMUSG00000038619	predicted gene 5224; endosulfine alpha; similar to endosulfine alpha isoform 1	Mus musculus	ENSA,Gm5224,LOC631725,
ENSMUSG00000038990	predicted gene 6190; CDK5 and Abl enzyme substrate 2	Mus musculus	cables2,Gm6190,
ENSMUSG00000019794	predicted gene 6524; katanin p60 (ATPase-containing) subunit A1	Mus musculus	Gm6524,KATNA1,
ENSMUSG00000014905	predicted gene 6568; DnaJ (Hsp40) homolog, subfamily B, member 9	Mus musculus	dnajb9,Gm6568,
ENSMUSG00000020492	predicted gene 6597; RIKEN cDNA 1110001A07 gene	Mus musculus	Fam33a,SKA2L,
ENSMUSG00000021131	predicted gene 6941; predicted gene 10131; enhancer of rudimentary homolog (Drosophila)	Mus musculus	ERH,Gm10131,Gm6941,
ENSMUSG00000024293	predicted gene 7054; establishment of cohesion 1 homolog 1 (S. cerevisiae)	Mus musculus	Esco1,Gm7054,
ENSMUSG00000012429	predicted gene 7102; RIKEN cDNA 2810021B07 gene	Mus musculus	2810021B07Rik,Gm7102,
ENSMUSG00000038482	predicted gene 7390; transcription factor Dp 1; similar to Transcription factor Dp-1 (E2F dimerization partner 1) (DRTF1-polypeptide 1)	Mus musculus	Gm7390,LOC674691,TFDP1,
ENSMUSG00000071172	predicted gene 7509; splicing factor, arginine/serine-rich 3 (SRp20); similar to MGC89287 protein; predicted gene 9761; predicted gene 7083	Mus musculus	Gm7083,Gm7509,Gm9761,LOC100047744,SFRS3,
ENSMUSG00000001175, ENSMUSG00000019370, ENSMUSG00000036438	predicted gene 7743; calmodulin 3; calmodulin 2; calmodulin 1; predicted gene 7308	Mus musculus	CALM1,CALM2,CALM3,Gm7308,Gm7743,
ENSMUSG00000056758	predicted gene 7996; high mobility group AT-hook 2	Mus musculus	Gm7996,HMGA2,
ENSMUSG00000038344	predicted gene 8258; similar to factor inhibiting activating transcription factor 4 (ATF4)-mediated transcription; RIKEN cDNA 4932441K18 gene	Mus musculus	4932441K18Rik,Gm8258,LOC630671,
ENSMUSG00000041431	predicted gene 8416; predicted gene 5593; cyclin B1; similar to cyclin B1; predicted gene 4870	Mus musculus	CCNB1,Gm4870,Gm5593,Gm8416,LOC100045322,
ENSMUSG00000027479	predicted gene 8545; microtubule-associated protein, RP/EB family, member 1; similar to Microtubule-associated protein RP/EB family member 1 (APC-binding protein EB1) (End-binding protein 1) (EB1)	Mus musculus	Gm8545,LOC674193,Mapre1,
ENSMUSG00000024974	predicted gene 8892; structural maintenace of chromosomes 3	Mus musculus	Gm8892,smc3,
ENSMUSG00000023932	predicted gene 9040; predicted gene 9046; predicted gene 9029; predicted gene 9048; cell division cycle 5-like (S. pombe); predicted gene 9049; predicted gene 9044; predicted gene 9030; predicted gene 9045	Mus musculus	Cdc5l,Gm9029,Gm9030,Gm9040,Gm9044,Gm9045,Gm9046,Gm9048,Gm9049,
ENSMUSG00000004455	predicted gene 9231; similar to protein phosphatase 1, catalytic subunit, beta; protein phosphatase 1, catalytic subunit, gamma isoform; predicted gene 9315	Mus musculus	Gm9231,Gm9315,LOC627816,Ppp1cc,
ENSMUSG00000036850	predicted gene 9481; mitochondrial ribosomal protein L41	Mus musculus	Gm9481,mRpL41,
ENSMUSG00000002635	programmed cell death 2-like	Mus musculus	pdcd2l,
ENSMUSG00000032504	programmed cell death 6 interacting protein	Mus musculus	PDCD6IP,
ENSMUSG00000027342	proliferating cell nuclear antigen; similar to proliferating cell nuclear antigen (DNA polymerase delta auxiliary protein)	Mus musculus	LOC100046823,pcnA,
ENSMUSG00000020493	proline rich 11	Mus musculus	PRR11,
ENSMUSG00000068744	proline/serine-rich coiled-coil 1	Mus musculus	Psrc1,
ENSMUSG00000078652	proteaseome (prosome, macropain) 28 subunit, 3	Mus musculus	PSME3,
ENSMUSG00000029551	proteasome (prosome, macropain) assembly chaperone 3	Mus musculus	PSMG3,
ENSMUSG00000021948	protein kinase C, delta	Mus musculus	PRKCD,
ENSMUSG00000004591	protein kinase N2	Mus musculus	pkn2,
ENSMUSG00000023908	protein kinase, membrane associated tyrosine/threonine 1	Mus musculus	PKMYT1,
ENSMUSG00000040385	protein phosphatase 1, catalytic subunit, alpha isoform	Mus musculus	Ppp1ca,
